DATA:,NODE #95,
,,
FROM:,01-05-2019 05:52,
TO:,04-09-2019 05:52,
,,
SENSOR:,Soil moisture,%
VALUE, TIMESTAMP,
0.4,10-06-2019 18:22,
0.4,10-06-2019 18:27,
0.3,10-06-2019 21:19,
0.2,11-06-2019 00:17,
0.2,11-06-2019 00:20,
0.2,11-06-2019 00:25,
0.2,11-06-2019 03:16,
0.2,11-06-2019 06:15,
0.2,11-06-2019 06:17,
0.2,11-06-2019 06:22,
0.2,11-06-2019 09:13,
0.2,11-06-2019 12:43,
0.2,11-06-2019 12:45,
0.2,11-06-2019 12:50,
0.4,11-06-2019 15:17,
0.4,11-06-2019 15:18,
0.4,11-06-2019 15:23,
0.4,11-06-2019 18:11,
0.4,11-06-2019 18:13,
0.4,11-06-2019 18:18,
0.4,11-06-2019 21:27,
0.4,11-06-2019 21:29,
0.3,12-06-2019 00:06,
0.3,12-06-2019 00:08,
0.3,12-06-2019 00:14,
0.2,12-06-2019 03:05,
0.2,12-06-2019 03:07,
0.2,12-06-2019 03:12,
0.2,12-06-2019 06:34,
0.2,12-06-2019 06:36,
0.2,12-06-2019 06:41,
0.2,12-06-2019 09:20,
0.2,12-06-2019 09:22,
0.2,12-06-2019 09:27,
0.4,12-06-2019 12:55,
0.4,12-06-2019 12:57,
0.4,12-06-2019 15:14,
0.4,12-06-2019 15:16,
0.2,12-06-2019 19:22,
0.2,12-06-2019 19:24,
0.2,12-06-2019 19:29,
0.2,12-06-2019 20:56,
0.2,12-06-2019 20:59,
0.2,12-06-2019 21:04,
0.2,12-06-2019 23:55,
0.2,12-06-2019 23:57,
0.2,13-06-2019 00:02,
0.2,13-06-2019 02:54,
0.2,13-06-2019 02:56,
0.2,13-06-2019 05:52,
0.2,13-06-2019 05:55,
0.2,13-06-2019 06:00,
0.2,13-06-2019 08:51,
0.2,13-06-2019 08:53,
0.2,13-06-2019 08:58,
0.2,13-06-2019 11:49,
0.2,13-06-2019 11:52,
0.2,13-06-2019 11:57,
0.2,13-06-2019 14:48,
0.2,13-06-2019 14:50,
0.2,13-06-2019 14:55,
0.2,13-06-2019 17:47,
0.2,13-06-2019 17:49,
0.2,13-06-2019 17:54,
0.2,13-06-2019 20:45,
0.2,13-06-2019 20:47,
0.2,13-06-2019 20:53,
0.2,13-06-2019 23:44,
0.2,13-06-2019 23:46,
0.2,13-06-2019 23:51,
0.2,14-06-2019 02:42,
0.2,14-06-2019 05:41,
0.2,14-06-2019 05:43,
0.2,14-06-2019 08:39,
0.2,14-06-2019 11:38,
0.2,14-06-2019 11:40,
0.2,14-06-2019 11:45,
0.2,14-06-2019 14:37,
0.2,14-06-2019 17:35,
0.2,14-06-2019 20:34,
0.2,14-06-2019 20:36,
0.2,14-06-2019 23:33,
0.2,14-06-2019 23:35,
0.2,14-06-2019 23:40,
0.2,15-06-2019 02:31,
0.2,15-06-2019 05:30,
0.2,15-06-2019 05:32,
0.2,15-06-2019 08:28,
0.2,15-06-2019 11:27,
0.2,15-06-2019 11:29,
0.2,15-06-2019 14:26,
0.2,15-06-2019 14:28,
0,15-06-2019 17:24,
0,15-06-2019 17:26,
0,15-06-2019 17:31,
0,15-06-2019 20:23,
0,15-06-2019 20:25,
0,15-06-2019 20:30,
0,15-06-2019 23:21,
0,15-06-2019 23:23,
0,15-06-2019 23:29,
0,16-06-2019 02:20,
0,16-06-2019 02:22,
0,16-06-2019 05:18,
0,16-06-2019 08:17,
0,16-06-2019 08:20,
0,16-06-2019 08:24,
0,16-06-2019 11:16,
0,16-06-2019 14:14,
0,16-06-2019 17:13,
0,16-06-2019 17:15,
0,16-06-2019 17:20,
0,16-06-2019 20:12,
0,16-06-2019 20:14,
0,16-06-2019 23:10,
0,16-06-2019 23:13,
0,16-06-2019 23:18,
0,17-06-2019 02:09,
0,17-06-2019 05:07,
0,17-06-2019 08:06,
0,17-06-2019 08:08,
0,17-06-2019 08:13,
0,17-06-2019 11:05,
0,17-06-2019 11:07,
0,17-06-2019 11:12,
0,17-06-2019 14:03,
0,17-06-2019 17:02,
0,17-06-2019 17:04,
0,17-06-2019 17:09,
0,17-06-2019 20:00,
0,17-06-2019 20:02,
0,17-06-2019 22:59,
0,18-06-2019 01:57,
0,18-06-2019 02:00,
0,18-06-2019 02:05,
0,18-06-2019 04:56,
0,18-06-2019 07:55,
0,18-06-2019 07:57,
0,18-06-2019 08:02,
0,18-06-2019 08:02,
0,18-06-2019 10:53,
0,18-06-2019 10:56,
0,18-06-2019 11:01,
0,18-06-2019 13:52,
0,18-06-2019 13:54,
0,18-06-2019 13:59,
0,18-06-2019 16:50,
0,18-06-2019 16:53,
0,18-06-2019 16:58,
0,18-06-2019 19:49,
0,18-06-2019 19:51,
0,18-06-2019 19:56,
0,18-06-2019 22:48,
0,19-06-2019 01:46,
0,19-06-2019 01:48,
0,19-06-2019 01:54,
0,19-06-2019 04:45,
0,19-06-2019 04:47,
0,19-06-2019 07:43,
0,19-06-2019 10:42,
0,19-06-2019 10:44,
0,19-06-2019 13:41,
0,19-06-2019 13:43,
0,19-06-2019 16:39,
0,19-06-2019 16:41,
0,19-06-2019 19:38,
0,19-06-2019 19:40,
0,19-06-2019 19:45,
0,19-06-2019 22:36,
0,19-06-2019 22:39,
0,19-06-2019 22:44,
0,20-06-2019 01:35,
0,20-06-2019 01:37,
0,20-06-2019 04:34,
0,20-06-2019 04:36,
0,20-06-2019 04:41,
0,20-06-2019 07:32,
0,20-06-2019 07:34,
0,20-06-2019 07:39,
8.8,12-07-2019 10:29,
8.8,12-07-2019 10:30,
10.8,12-07-2019 13:29,
12.8,12-07-2019 16:27,
12.8,12-07-2019 19:26,
12.8,12-07-2019 22:25,
11.8,13-07-2019 01:23,
11.8,13-07-2019 04:22,
11.8,13-07-2019 07:20,
11.8,13-07-2019 10:19,
11.8,13-07-2019 13:17,
11.8,13-07-2019 16:16,
11.8,13-07-2019 19:15,
11.8,13-07-2019 22:13,
11.8,14-07-2019 01:12,
11.8,14-07-2019 04:10,
11.8,14-07-2019 07:09,
11.8,14-07-2019 07:11,
11.4,14-07-2019 10:08,
11.8,14-07-2019 13:06,
12,14-07-2019 16:05,
11.8,14-07-2019 19:03,
11.8,14-07-2019 22:02,
11.8,15-07-2019 01:01,
11.8,15-07-2019 03:59,
11.8,15-07-2019 06:58,
10.8,15-07-2019 09:56,
10.8,15-07-2019 12:55,
11.8,15-07-2019 15:54,
10.8,15-07-2019 18:52,
10.8,15-07-2019 21:51,
10.8,16-07-2019 00:49,
10.8,16-07-2019 03:48,
10.8,16-07-2019 06:47,
10.8,16-07-2019 09:45,
10.8,16-07-2019 12:44,
10.8,16-07-2019 15:42,
10.8,16-07-2019 18:41,
10.8,16-07-2019 21:40,
10.8,17-07-2019 00:38,
10.2,17-07-2019 03:37,
9.8,17-07-2019 06:35,
10.8,17-07-2019 09:34,
10.8,17-07-2019 12:32,
10.8,17-07-2019 15:31,
10.8,17-07-2019 18:30,
10.8,17-07-2019 21:28,
9.8,18-07-2019 00:27,
9.8,18-07-2019 03:26,
9.8,18-07-2019 06:24,
9.8,18-07-2019 09:23,
9.8,18-07-2019 12:21,
9.8,18-07-2019 15:20,
10.8,18-07-2019 18:18,
10.8,18-07-2019 21:17,
9.8,19-07-2019 00:16,
9.8,19-07-2019 03:14,
9.8,19-07-2019 06:13,
9.8,19-07-2019 09:11,
9.8,19-07-2019 12:10,
10.8,19-07-2019 15:09,
10.8,19-07-2019 18:07,
10.8,19-07-2019 21:06,
10.6,20-07-2019 00:04,
9.8,20-07-2019 03:03,
9.8,20-07-2019 06:02,
9.8,20-07-2019 09:00,
9.8,20-07-2019 11:59,
10.8,20-07-2019 14:57,
10.8,20-07-2019 17:56,
10.4,20-07-2019 20:55,
9.8,20-07-2019 23:53,
8.8,29-07-2019 19:13,
8.8,29-07-2019 22:12,
8.8,30-07-2019 01:10,
8.8,30-07-2019 04:09,
8.8,30-07-2019 07:08,
8.8,30-07-2019 10:06,
8.8,30-07-2019 13:05,
8.8,30-07-2019 16:03,
8.8,30-07-2019 19:02,
8.8,30-07-2019 22:01,
8.8,31-07-2019 00:59,
8.8,31-07-2019 03:58,
8.8,31-07-2019 06:56,
8.8,31-07-2019 09:55,
8.8,31-07-2019 12:53,
8.8,31-07-2019 15:52,
8.8,31-07-2019 18:51,
8.8,31-07-2019 21:49,
8.8,01-08-2019 00:48,
8.8,01-08-2019 03:46,
8.8,01-08-2019 06:45,
9.8,01-08-2019 09:44,
11.8,01-08-2019 12:42,
11.8,01-08-2019 15:41,
11.8,01-08-2019 18:39,
11.8,01-08-2019 21:38,
11.8,02-08-2019 12:31,
11.8,02-08-2019 15:29,
11.8,02-08-2019 18:28,
11.8,02-08-2019 21:27,
